Что нужно сделать ;;;;Статус;Вопросы;;Комментарий;;;
Загрузка заполненного файла;;;;;Пример файла ;;Мне пересылали файл - где он ;;;application/views/header.php 408  строка
Указывает срок поставки;;;;Готово;;;;;;
Раздел приложить файл;;;;;Где храниться;;Нужен pdf ;;;
Убрать поля;;;;Готово;Для кого и в каком случае;;Убираю пока если аукцион текущий ;;;
По факту завершения нельзя менять аукцион ;;;;Готово;;;;;;
Записывать поле название у поставщика;;;;;;;поле создал в бд разбираюсь с добавлением его из кода;;;
;;;;;;;;;;
По факту завершения;;;;;;;;;;
Виден список предложений;;;;Готово;Виден у главного добавить для 5 группы;;;;;
Кнопка анулировать;;;;Готово;Как понять что аукцион анулирован;;Ничего не меняется от анулирования функция базовая ;;;
Добавить комментарий при выборе победителя;;;;;;;$.SelectWinner;;;
В итоговую таблицу итоговые предложения;;;;Готово;Вроде так и есть ;;;;;
В протоколе доп информация ;;;;;Добавить комментарий;;;;;
Рассылка писем;;;;;С опен сервера не работает;;Да и шаблонов нет;;;
